epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4491,3.06839,8.10847,1.91344,0,0,0,0,2.85556,9.47882,1.66654,5.001e-05,5.001e-05,5.001e-05
2,28.9793,2.46239,7.2543,1.57642,0,0,0,0,2.05192,6.77657,1.27549,0.000116305,0.000116305,0.000116305
3,43.3754,2.4217,5.948,1.43253,0.00127,0.25,0.00115,0.00016,2.19413,6.11007,1.12563,0.00018216,0.00018216,0.00018216
4,57.6054,2.0968,4.77986,1.20888,0.00206,0.75,0.00212,0.00044,2.13629,5.77907,1.11121,0.000247575,0.000247575,0.000247575
5,71.8335,2.08169,3.91002,1.16201,0.00203,0.75,0.00206,0.00037,2.12553,5.79346,1.1424,0.000312549,0.000312549,0.000312549
6,86.5609,1.6482,3.67446,0.98893,0.0028,0.875,0.00303,0.00048,2.11652,5.63679,1.12744,0.000377084,0.000377084,0.000377084
7,100.662,1.59778,3.25697,1.06935,0.00206,0.75,0.00204,0.0003,2.13918,6.07023,1.07501,0.000441178,0.000441178,0.000441178
8,114.586,1.58707,2.89265,1.02919,0.002,0.75,0.00199,0.00044,2.40406,5.86791,1.07887,0.000504833,0.000504833,0.000504833
9,128.792,1.85275,4.33111,1.07678,0.00261,0.875,0.00284,0.00088,2.00351,5.36853,1.00209,0.000568047,0.000568047,0.000568047
10,143.002,1.48571,3.03371,1.05266,0.0026,0.875,0.00286,0.00109,2.06124,6.03557,1.04252,0.000630821,0.000630821,0.000630821
11,157.355,1.62366,2.65335,1.0771,0.00261,0.875,0.00277,0.00113,1.9927,5.63105,0.99645,0.000693155,0.000693155,0.000693155
12,171.033,1.71572,2.75121,1.12129,0.00324,1,0.00368,0.00171,1.66107,5.42309,0.99428,0.000755049,0.000755049,0.000755049
13,184.877,1.63211,2.58171,1.01303,0.00197,0.75,0.00171,0.00078,2.1163,5.23817,0.96156,0.000816503,0.000816503,0.000816503
14,198.704,1.45591,2.44236,1.01987,0.00134,0.625,0.00118,0.00059,2.46068,5.35875,0.98993,0.000877517,0.000877517,0.000877517
15,212.48,1.37784,2.20921,1.01849,0.00181,0.375,0.0019,0.00073,2.19605,5.12912,0.99838,0.000938091,0.000938091,0.000938091
16,226.594,1.4394,2.20325,0.96481,0.00182,0.375,0.00183,0.00096,2.11347,5.19816,1.0507,0.000998225,0.000998225,0.000998225
17,240.287,1.54448,2.36138,1.0635,0.00127,0.25,0.0149,0.00884,2.20965,4.88004,1.09895,0.00105792,0.00105792,0.00105792
18,254.122,1.42383,2.00715,0.98899,0.002,0.75,0.01277,0.00152,3.02386,4.94757,1.31634,0.00111717,0.00111717,0.00111717
19,267.466,1.96316,2.55365,1.14303,0.00202,0.75,0.0022,0.00033,3.0448,4.93708,1.29802,0.00117599,0.00117599,0.00117599
20,281.102,1.65147,2.41738,1.07783,0.00203,0.75,0.01667,0.00582,2.04975,4.81911,1.05109,0.00123436,0.00123436,0.00123436
21,874.982,1.52175,1.93731,1.02495,0.00217,0.375,0.16613,0.08511,1.73956,4.53001,0.9589,0.00129229,0.00129229,0.00129229
22,894.2,1.25276,2.01318,1.00407,0.00134,0.625,0.00497,0.00259,1.59513,4.76936,0.95105,0.00134978,0.00134978,0.00134978
23,924.705,1.56658,2.12011,0.9801,0.00206,0.75,0.06319,0.02584,1.49213,4.49174,1.01668,0.00140684,0.00140684,0.00140684
24,955.141,1.78643,2.36086,1.1344,0.00286,0.5,0.28162,0.14386,1.67102,4.19811,1.11355,0.00146345,0.00146345,0.00146345
25,985.233,1.54216,2.06883,1.05841,1,0.20637,0.44393,0.21106,1.77447,3.85207,1.06211,0.00151962,0.00151962,0.00151962
26,1013.62,1.42694,1.85892,1.01038,0.00281,0.5,0.42458,0.19454,1.77549,4.03687,1.02515,0.00152947,0.00152947,0.00152947
27,1044.27,1.46508,1.63854,1.00838,0.18921,0.09461,0.16676,0.06262,1.75,4.1381,1.01931,0.00152397,0.00152397,0.00152397
28,1067.39,1.47152,1.68722,0.95027,0.20419,0.1021,0.11276,0.05148,1.91419,4.3212,1.04247,0.00151847,0.00151847,0.00151847
29,1082.65,1.2082,2.43454,1.01053,0.23414,0.11707,0.17099,0.08118,2.0725,4.24703,1.06704,0.00151297,0.00151297,0.00151297
30,1097.38,1.33754,1.67333,0.95633,0.187,0.125,0.16815,0.0776,2.02626,4.06274,1.04585,0.00150747,0.00150747,0.00150747
31,1111.15,1.47403,1.75561,0.96697,0.19167,0.125,0.12941,0.05511,1.94375,3.97122,1.06443,0.00150197,0.00150197,0.00150197
32,1127.2,1.34469,1.46643,0.97264,0.30027,0.20041,0.1912,0.09196,1.87784,4.13012,1.06561,0.00149647,0.00149647,0.00149647
33,1155.63,1.30631,1.53437,0.96304,0.32341,0.23512,0.28052,0.14693,1.99769,4.29551,1.09765,0.00149096,0.00149096,0.00149096
34,1184.12,1.42115,1.62027,0.95074,0.31855,0.22782,0.22285,0.10089,1.97866,4.47231,1.07996,0.00148546,0.00148546,0.00148546
35,1211.23,1.21452,1.2958,0.94071,0.32503,0.25,0.16913,0.0684,1.99671,4.51646,1.01183,0.00147996,0.00147996,0.00147996
36,1224.54,1.25595,1.5044,0.96482,0.23061,0.1153,0.13653,0.06704,1.92631,4.73076,0.99467,0.00147446,0.00147446,0.00147446
37,1237.87,1.38724,1.45277,1.05959,0.00214,0.75,0.11634,0.053,1.95448,5.05554,1.1185,0.00146896,0.00146896,0.00146896
38,1251.18,1.40292,1.56191,0.98973,0.00218,0.75,0.10856,0.05167,2.0191,4.84964,1.1179,0.00146346,0.00146346,0.00146346
39,1264.77,1.15753,1.28469,0.91538,0.00226,0.75,0.13269,0.07628,2.01738,4.60451,1.04236,0.00145796,0.00145796,0.00145796
40,1278.38,1.23404,1.33299,0.94789,0.00236,0.75,0.14516,0.08917,1.87556,4.47623,1.00343,0.00145246,0.00145246,0.00145246
41,1291.93,1.22329,1.55135,0.98449,0.00227,0.75,0.11412,0.06295,1.89408,4.52248,1.02962,0.00144696,0.00144696,0.00144696
42,1305.02,1.33252,1.28155,1.01603,0.232,0.116,0.14482,0.08274,1.9505,4.77793,1.09462,0.00144145,0.00144145,0.00144145
43,1318.34,1.39026,1.40566,0.98562,0.22941,0.11471,0.13426,0.06261,2.02948,4.93769,1.11666,0.00143595,0.00143595,0.00143595
44,1331.61,1.01281,3.32733,0.71894,0.23439,0.1172,0.10514,0.05029,2.12631,4.93197,1.0844,0.00143045,0.00143045,0.00143045
45,1344.82,1.20708,1.33036,0.9806,0.24088,0.12044,0.12625,0.0416,2.10555,4.71738,1.05291,0.00142495,0.00142495,0.00142495
46,1358.43,1.25497,1.20526,0.96225,0.26008,0.14012,0.17041,0.08503,1.978,4.54217,1.02825,0.00141945,0.00141945,0.00141945
47,1371.8,1.19349,1.26122,0.93628,0.2351,0.11755,0.11168,0.05584,1.93154,4.72632,1.11963,0.00141395,0.00141395,0.00141395
48,1385.63,1.27153,1.13391,0.95935,0.00136,0.625,0.09311,0.04656,1.79852,4.88771,1.19594,0.00140845,0.00140845,0.00140845
49,1399.28,1.2448,1.2369,0.90022,0.2178,0.1089,0.11682,0.05841,1.68307,4.69099,1.11864,0.00140295,0.00140295,0.00140295
50,1412.67,1.20928,1.15232,1.00438,0.23434,0.11717,0.16141,0.07947,1.65698,4.49945,1.03067,0.00139745,0.00139745,0.00139745
51,1426.55,1.2819,1.29936,0.93163,0.23414,0.11707,0.1393,0.07145,1.67143,4.30144,1.02884,0.00139195,0.00139195,0.00139195
52,1440.98,1.25556,1.12502,0.96366,0.00213,0.75,0.12223,0.06281,1.65446,4.35365,1.04869,0.00138644,0.00138644,0.00138644
53,1455.69,1.16899,1.15008,0.91933,0.00212,0.75,0.12292,0.06047,1.82635,4.44075,1.07227,0.00138094,0.00138094,0.00138094
54,1470,1.04492,1.05785,0.88917,0.1149,0.08617,0.12614,0.0601,1.82298,4.26473,1.04214,0.00137544,0.00137544,0.00137544
55,1484.47,1.14802,1.03812,0.92565,0.1643,0.125,0.1677,0.08997,1.81969,4.01282,1.01665,0.00136994,0.00136994,0.00136994
56,1499.4,1.1922,1.08752,0.92285,0.22098,0.20647,0.25392,0.14863,1.77993,3.73314,1.00107,0.00136444,0.00136444,0.00136444
57,1513.55,1.102,0.97076,0.91444,0.19762,0.17143,0.25641,0.14037,1.98632,4.04901,1.01182,0.00135894,0.00135894,0.00135894
